Zone,"From (Date, Format yyyy-mm-dd)","From (Hour, Format hh:mm:ss)","To (Date, Format yyyy-mm-dd)","To (Hour, Format hh:mm:ss)"
Florence (Prato),2020-06-27,10:23:59,2020-06-27,10:24:02
Milan,2020-08-13,10:33:15,2020-08-13,10:33:18
Bologna,2020-11-07,10:16:14,2020-11-07,10:16:18
Kampur (Rath),2021-03-03,5:28:13,2021-03-03,5:28:16
"Willow Hill, Illinois  (Newton)",2021-07-03,16:47:13,2021-07-03,16:47:16
"Onaka, South Dakota (Ipswich, Manitoba)",2022-06-19,17:39:15,2022-06-19,17:39:18
Grosseto,2022-07-03,10:14:44,2022-07-03,10:14:48
Bordeaux,2022-08-04,11:04:34,2022-08-04,11:04:38
Cagliari,2022-09-05,10:19:02,2022-09-05,10:19:05
Dijon (Tonnerre),2023-06-01,10:53:23,2023-06-01,10:53:26
Udine (Monfalcone),2023-08-24,10:03:57,2023-08-24,10:04:00
Ontario (Sault Sainte Marie),2023-09-05,16:38:52,2023-09-05,16:38:55
"Ford County, Kansas",2023-09-08,17:31:28,2023-09-08,17:31:31
London,2023-09-09,11:15:53,2023-09-09,11:15:56
South Sardinia,2023-11-20,10:22:30,2023-11-20,10:22:33
"Macuspana, Tabasco",2023-11-20,16:56:42,2023-11-20,16:56:46
,,,,
